ID,Edad,Experiencia,Ingresos,Codigo Postal,Familiares,Promedio Gastos,Educacion,Hipotecas,Prestamos,Activos Financieros,Online,Tarjeta
1,25,1,490000,91107,4,1.60,No graduado,0,No,Si,No,No
2,45,19,340000,90089,3,1.50,No graduado,0,No,Si,No,No
3,39,15,110000,94720,1,1.00,No graduado,0,No,No,No,No
4,35,9,1000000,94112,1,2.70,Graduado,0,No,No,No,No
5,35,8,450000,91330,4,1.00,Graduado,0,No,No,No,Si
6,37,13,290000,92121,4,0.40,Graduado,155,No,No,Si,No
7,53,27,720000,91711,2,1.50,Graduado,0,No,No,Si,No
8,50,24,220000,93943,1,0.30,Profesional,0,No,No,No,Si
9,35,10,810000,90089,3,0.60,Graduado,104,No,No,Si,No
10,34,9,1800000,93023,1,8.90,Profesional,0,Si,No,No,No
11,65,39,1050000,94710,4,2.40,Profesional,0,No,No,No,No
12,29,5,450000,90277,3,0.10,Graduado,0,No,No,Si,No
13,48,23,1140000,93106,2,3.80,Profesional,0,No,Si,No,No
14,59,32,400000,94920,4,2.50,Graduado,0,No,No,Si,No
15,67,41,1120000,91741,1,2.00,No graduado,0,No,Si,No,No
16,60,30,220000,95054,1,1.50,Profesional,0,No,No,Si,Si
17,38,14,1300000,95010,4,4.70,Profesional,134,Si,No,No,No
18,42,18,810000,94305,4,2.40,No graduado,0,No,No,No,No
19,46,21,1930000,91604,2,4.70,Profesional,0,Si,No,No,No
20,55,28,210000,94720,1,0.50,Graduado,0,No,Si,No,Si
21,56,31,250000,94015,4,0.90,Graduado,111,No,No,Si,No
22,57,27,630000,90095,3,2.00,Profesional,0,No,No,Si,No
23,29,5,620000,90277,1,1.20,No graduado,260,No,No,Si,No
24,44,18,430000,91320,2,0.70,No graduado,163,No,Si,No,No
25,36,11,1520000,95521,2,3.90,No graduado,159,No,No,No,Si
26,43,19,290000,94305,3,0.50,No graduado,97,No,No,Si,No
27,40,16,830000,95064,4,0.20,Profesional,0,No,No,No,No
28,46,20,1580000,90064,1,2.40,No graduado,0,No,No,Si,Si
29,56,30,480000,94539,1,2.20,Profesional,0,No,No,Si,Si
30,38,13,1190000,94104,1,3.30,Graduado,0,Si,No,Si,Si
31,59,35,350000,93106,1,1.20,Profesional,122,No,No,Si,No
32,40,16,290000,94117,1,2.00,Graduado,0,No,No,Si,No
33,53,28,410000,94801,2,0.60,Profesional,193,No,No,No,No
34,30,6,180000,91330,3,0.90,Profesional,0,No,No,No,No
35,31,5,500000,94035,4,1.80,Profesional,0,No,No,Si,No
36,48,24,810000,92647,3,0.70,No graduado,0,No,No,No,No
37,59,35,1210000,94720,1,2.90,No graduado,0,No,No,No,Si
38,51,25,710000,95814,1,1.40,Profesional,198,No,No,No,No
39,42,18,1410000,94114,3,5.00,Profesional,0,Si,Si,Si,No
40,38,13,800000,94115,4,0.70,Profesional,285,No,No,Si,No
41,57,32,840000,92672,3,1.60,Profesional,0,No,Si,No,No
42,34,9,600000,94122,3,2.30,No graduado,0,No,No,No,No
43,32,7,1320000,90019,4,1.60,Graduado,412,Si,No,Si,No
44,39,15,450000,95616,1,0.70,No graduado,0,No,No,Si,No
45,46,20,1040000,94065,1,5.70,No graduado,0,No,No,Si,Si
46,57,31,520000,94720,4,2.50,No graduado,0,No,No,No,Si
47,39,14,430000,95014,3,0.70,Graduado,153,No,No,Si,No
48,37,12,1940000,91380,4,0.20,Profesional,211,Si,Si,Si,Si
49,56,26,810000,95747,2,4.50,Profesional,0,No,No,No,Si
50,40,16,490000,92373,1,1.80,No graduado,0,No,No,No,Si
51,32,8,80000,92093,4,0.70,Graduado,0,No,Si,Si,No
52,61,37,1310000,94720,1,2.90,No graduado,0,No,No,Si,No
53,30,6,720000,94005,1,0.10,No graduado,207,No,No,No,No
54,50,26,1900000,90245,3,2.90,Profesional,240,Si,No,Si,No
55,29,5,440000,95819,1,0.20,Profesional,0,No,No,Si,No
56,41,17,1390000,94022,2,8.00,No graduado,0,No,No,Si,No
57,55,30,290000,94005,3,0.10,Graduado,0,No,Si,Si,No
58,56,31,1310000,95616,2,1.20,Profesional,0,Si,No,No,No
59,28,2,930000,94065,2,0.20,No graduado,0,No,No,No,No
60,31,5,1880000,91320,2,4.50,No graduado,455,No,No,No,No
61,49,24,390000,90404,3,1.70,Graduado,0,No,Si,Si,No
62,47,21,1250000,93407,1,5.70,No graduado,112,No,Si,No,No
63,42,18,220000,90089,1,1.00,No graduado,0,No,No,No,No
