id,product_name,price,quantity_in_stock,technical,category,release_date,weight,ask?
1,Notebook Dell,853.27,513,Skaboo,Notebooks,3/26/2024,1169.11,FALSE
2,Notebook Lenovo,1281.22,359,Photobug,Notebooks,2/26/2024,763.87,FALSE
3,Notebook Acer,996.25,250,Wordpedia,Notebooks,1/28/2024,1141.1,TRUE
4,Notebook Acer,1082.01,138,Feedbug,Notebooks,1/4/2024,1088.38,FALSE
5,Notebook Dell,1198.5,416,Lajo,Notebooks,3/23/2024,1037.95,TRUE
6,Notebook Dell,1289.24,775,Rhybox,Notebooks,1/11/2024,1122.55,TRUE
7,Notebook Dell,1308.72,682,Voolith,Notebooks,1/5/2024,1059.27,FALSE
8,Notebook Dell,841.95,428,Gabspot,Notebooks,3/14/2024,1008.08,TRUE
9,Notebook Dell,1034.17,366,Jabbercube,Notebooks,1/3/2024,829.74,FALSE
10,Microsoft Surface,1480.25,412,Oyope,Notebooks,3/27/2024,864.6,TRUE
11,Notebook Lenovo,832.84,449,Wikibox,Notebooks,1/4/2024,1188.7,FALSE
12,Notebook Lenovo,1023.75,153,Talane,Notebooks,1/17/2024,751.26,TRUE
13,Notebook HP,1172.96,202,Bluejam,Notebooks,2/2/2024,782.22,FALSE
14,Notebook HP,881.74,15,Linktype,Notebooks,1/2/2024,752.0,FALSE
15,Notebook Lenovo,1417.2,881,Brainsphere,Notebooks,1/31/2024,1091.93,FALSE
16,Notebook HP,1011.95,389,Dazzlesphere,Notebooks,3/27/2024,1170.12,TRUE
17,Notebook HP,1358.38,149,Jaxspan,Notebooks,2/18/2024,723.29,TRUE
18,Microsoft Surface,875.95,947,Zoomcast,Notebooks,3/5/2024,709.31,TRUE
19,Microsoft Surface,1113.88,980,Mymm,Notebooks,1/25/2024,953.4,TRUE
20,Notebook Dell,1264.49,218,Fivechat,Notebooks,2/21/2024,856.0,FALSE
21,Notebook HP,1462.11,363,Skajo,Notebooks,1/1/2024,941.02,FALSE
22,Notebook Lenovo,895.09,732,Oba,Notebooks,2/6/2024,893.05,TRUE
23,Notebook Acer,1188.5,656,Youfeed,Notebooks,2/22/2024,1165.04,FALSE
24,Notebook HP,1130.13,343,Thoughtbridge,Notebooks,2/18/2024,1153.05,TRUE
25,Notebook Acer,1446.7,31,Centimia,Notebooks,2/21/2024,1027.56,FALSE
26,Notebook Dell,1306.73,479,Aimbo,Notebooks,2/7/2024,805.33,TRUE
27,Notebook Dell,1407.27,791,Topiczoom,Notebooks,3/13/2024,973.42,FALSE
28,Notebook Acer,1495.13,851,Thoughtsphere,Notebooks,2/6/2024,746.02,FALSE
