beneficio_tipo,beneficiario_razon_social,beneficiario_cuit,proyecto_nombre,proyecto_id,proyecto_resumen,sector_edc,provincia_nombre,provincia_id,localidad_nombre,localidad_id,resolucion,anr_abonado,subsidio_tasa_credito
Bonificación de tasa crediticia,Esg Dilec SA,30708334584,"Sistema multiplataforma de lectura, explotación y análisis de datos orientado a la gestión de redes de energía eléctrica inteligentes",1,La provisión de una plataforma informática y de análisis de datos para la lectura y gestión de medidores eléctricos,Industria 4.0,Santa Fe,82,Rosario,82084270000,RESOL-2021-407-APN-SIECYGCE#MDP,,4008128
ANR,Esg Dilec SA,30708334584,"Sistema multiplataforma de lectura, explotación y análisis de datos orientado a la gestión de redes de energía eléctrica inteligentes",1,La provisión de una plataforma informática y de análisis de datos para la lectura y gestión de medidores eléctricos,Industria 4.0,Santa Fe,82,Rosario,82084270000,RESOL-2021-407-APN-SIECYGCE#MDP,4954725,
ANR,Laboratorio Biológico Tandil SRL,30638064126,Fabricación de Polarímetro nacional,2,Industrialización del codesarrollo realizado entre Redimec y Laboratorio Biológico de Tandil para la comercialización nacional e internacional de un instrumento destinado al diagnóstico rápido y exacto de las enfermedades virales y bacterianas,"Biotecnología 
",Buenos Aires,6,Tandil,6791050000,RESOL-2021-416-APN-SIECYGCE#MDP,4482165,
Bonificación de tasa crediticia,Laboratorio Biológico Tandil SRL,30638064126,Fabricación de Polarímetro nacional,2,Industrialización del codesarrollo realizado entre Redimec y Laboratorio Biológico de Tandil para la comercialización nacional e internacional de un instrumento destinado al diagnóstico rápido y exacto de las enfermedades virales y bacterianas,"Biotecnología 
",Buenos Aires,6,Tandil,6791050000,RESOL-2021-416-APN-SIECYGCE#MDP,,720530
Bonificación de tasa crediticia,Redimec SRL,33629783909,Fabricación de Polarímetro nacional,2,Industrialización del codesarrollo realizado entre Redimec y Laboratorio Biológico de Tandil para la comercialización nacional e internacional de un instrumento destinado al diagnóstico rápido y exacto de las enfermedades virales y bacterianas,Software,Buenos Aires,6,Tandil,6791050000,RESOL-2021-416-APN-SIECYGCE#MDP,,737628
ANR,Redimec SRL,33629783909,Fabricación de Polarímetro nacional,2,Industrialización del codesarrollo realizado entre Redimec y Laboratorio Biológico de Tandil para la comercialización nacional e internacional de un instrumento destinado al diagnóstico rápido y exacto de las enfermedades virales y bacterianas,Software,Buenos Aires,6,Tandil,6791050000,RESOL-2021-416-APN-SIECYGCE#MDP,8313999,
ANR,Itecnis SRL,30709392243,“Sistema de Certificación de Desinfección (DCS)”,3,"Sistema de Certificación de Desinfección ""DCS"". diseño, desarrollo, prueba y puesta en marcha de un sistema novedoso de trazabilidad del proceso de desinfección. 
El sistema a desarrollar consta de cuatro componentes centrales.",Industria 4.0,Santa Fe,82,Rosario,82084270000,RESOL-2021-359-APN-SIECYGCE#MDP,4460000,
Bonificación de tasa crediticia,Terragene SA,30709585939,“Sistema de Certificación de Desinfección (DCS)”,3,"Sistema de Certificación de Desinfección ""DCS"". diseño, desarrollo, prueba y puesta en marcha de un sistema novedoso de trazabilidad del proceso de desinfección. 
El sistema a desarrollar consta de cuatro componentes centrales.","Biotecnología 
",Santa Fe,82,Rosario,82084270000,RESOL-2021-359-APN-SIECYGCE#MDP,,3853802
ANR,Terragene SA,30709585939,“Sistema de Certificación de Desinfección (DCS)”,3,"Sistema de Certificación de Desinfección ""DCS"". diseño, desarrollo, prueba y puesta en marcha de un sistema novedoso de trazabilidad del proceso de desinfección. 
El sistema a desarrollar consta de cuatro componentes centrales.","Biotecnología 
",Santa Fe,82,Rosario,82084270000,RESOL-2021-359-APN-SIECYGCE#MDP,6050000,
ANR,Colven SA,30560312411,Sistema de Control y Transmisión satelital de geoposicionamiento y carga transportada en vehículos de transporte de cargas equipados con caja volcadora,4,Desarrollo de sistema de control de carga transportada en camión por transmisión satelital con propósitos de auditoría de inventario o de control de la mercadería en tránsito a fin de prevenir el fraude y garantizar la integridad de los inventarios,Software,Santa Fe,82,Guadalupe Norte,82049070000,RESOL-2021-412-APN-SIECYGCE#MDP,600000,
Bonificación de tasa crediticia,Colven SA,30560312411,Sistema de Control y Transmisión satelital de geoposicionamiento y carga transportada en vehículos de transporte de cargas equipados con caja volcadora,4,Desarrollo de sistema de control de carga transportada en camión por transmisión satelital con propósitos de auditoría de inventario o de control de la mercadería en tránsito a fin de prevenir el fraude y garantizar la integridad de los inventarios,Software,Santa Fe,82,Guadalupe Norte,82049070000,RESOL-2021-412-APN-SIECYGCE#MDP,,1091692
Bonificación de tasa crediticia,Vesta SA,30675024533,Sistema de Control y Transmisión satelital de geoposicionamiento y carga transportada en vehículos de transporte de cargas equipados con caja volcadora,4,Desarrollo de sistema de control de carga transportada en camión por transmisión satelital con propósitos de auditoría de inventario o de control de la mercadería en tránsito a fin de prevenir el fraude y garantizar la integridad de los inventarios,Industria 4.0,Santa Fe,82,Rosario,82084270000,RESOL-2021-412-APN-SIECYGCE#MDP,,117660
ANR,Vesta SA,30675024533,Sistema de Control y Transmisión satelital de geoposicionamiento y carga transportada en vehículos de transporte de cargas equipados con caja volcadora,4,Desarrollo de sistema de control de carga transportada en camión por transmisión satelital con propósitos de auditoría de inventario o de control de la mercadería en tránsito a fin de prevenir el fraude y garantizar la integridad de los inventarios,Industria 4.0,Santa Fe,82,Rosario,82084270000,RESOL-2021-412-APN-SIECYGCE#MDP,3070950,
