,ID,Genero,Auto,Propiedad,Hijos,Ingreso_anual,Tipo_trabajo,Nivel_educativo,Estado_civil,Vivienda,Telefono_laboral,Telefono_fijo,Email,Ocupacion,Tamaño_familia,Desempleado,Años_empleado,Edad
0,5008804,M,1,1,0,427500.0,Working,Higher education,Civil marriage,Rented apartment,1,0,0,unknown,2,0,12.44,32.87
2,5008806,M,1,1,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Security staff,2,0,3.1,58.79
3,5008808,F,0,1,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,1,1,Sales staff,1,0,8.35,52.32
7,5008812,F,0,1,0,283500.0,Pensioner,Higher education,Separated,House / apartment,0,0,0,unknown,1,1,0.0,61.5
10,5008815,M,1,1,0,270000.0,Working,Higher education,Married,House / apartment,1,1,1,Accountants,2,0,2.11,46.19
13,5008819,M,1,1,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2,0,3.27,48.67
19,5008825,F,1,0,0,130500.0,Working,Incomplete higher,Married,House / apartment,0,0,0,Accountants,2,0,3.02,29.21
21,5008830,F,0,1,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Laborers,2,0,4.02,27.46
24,5008834,F,0,1,1,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,unknown,2,0,4.44,30.03
27,5008836,M,1,1,3,270000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,5,0,3.18,34.74
29,5008838,M,0,1,1,405000.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,Managers,3,0,5.52,32.42
35,5008844,M,1,1,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,Drivers,2,0,12.18,56.13
46,5008854,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,4,0,8.69,43.15
62,5008868,F,0,1,1,211500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Core staff,3,0,19.44,44.39
64,5008872,M,1,1,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,Security staff,2,0,14.69,45.64
66,5008873,F,0,1,2,126000.0,Commercial associate,Higher education,Married,House / apartment,0,0,1,Managers,4,0,4.85,33.98
76,5008884,F,0,1,0,315000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,0,0,unknown,1,1,0.0,55.27
77,5008888,F,0,1,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,0,0,0,Core staff,1,0,3.69,46.59
81,5008891,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1,0,8.85,42.49
135,5008942,F,0,0,0,157500.0,Commercial associate,Higher education,Married,House / apartment,0,1,0,High skill tech staff,2,0,13.27,37.35
140,5008947,M,0,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Drivers,2,0,3.85,42.39
144,5008951,M,0,1,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,3,0,7.69,28.26
148,5008955,F,1,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2,0,4.69,48.69
156,5008966,M,0,1,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,unknown,2,0,2.43,43.88
160,5008974,F,0,1,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,61.11
167,5008981,M,1,1,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,0,1,0,Drivers,2,0,6.52,57.15
174,5008991,F,1,1,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,1,1,0,Cleaning staff,1,0,3.27,45.4
181,5008998,F,1,1,0,270000.0,Working,Higher education,Married,House / apartment,0,0,1,Managers,2,0,2.27,29.1
183,5009000,M,1,1,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Drivers,2,0,2.27,27.18
185,5009001,M,0,1,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Laborers,2,0,17.18,51.82
199,5009016,F,0,1,2,216000.0,State servant,Higher education,Married,House / apartment,0,0,1,unknown,4,0,8.52,42.28
209,5009027,F,1,1,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,1,Laborers,2,0,29.69,54.38
211,5009028,F,1,1,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2,0,7.6,39.56
213,5009031,F,0,1,0,315000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Accountants,1,0,3.27,28.9
216,5009033,F,0,0,0,255150.0,Pensioner,Incomplete higher,Civil marriage,Rented apartment,0,0,0,unknown,2,1,0.0,51.15
