,ID,Calificacion
0,5001711,0
1,5001712,0
2,5001713,0
3,5001714,0
4,5001715,0
5,5001717,0
6,5001718,1
7,5001719,0
8,5001720,1
9,5001723,0
10,5001724,0
11,5001725,0
12,5001726,0
13,5001728,0
14,5001729,0
15,5001730,0
16,5001731,0
17,5001732,0
18,5001733,0
19,5001734,0
20,5001735,0
21,5001736,0
22,5001737,0
23,5001738,0
24,5001739,0
25,5001742,0
26,5001743,0
27,5001744,0
28,5001745,0
29,5001746,0
30,5001747,0
31,5001748,0
32,5001754,0
33,5001755,0
34,5001756,0
35,5001757,1
36,5001758,0
37,5001759,0
38,5001760,0
39,5001765,0
40,5001766,0
41,5001767,0
42,5001768,0
43,5001769,0
44,5001770,0
45,5001771,0
46,5001772,0
47,5001773,0
48,5001774,0
49,5001775,0
50,5001778,0
51,5001779,0
52,5001780,0
53,5001782,0
54,5001783,0
55,5001784,0
56,5001785,0
57,5001786,1
58,5001787,0
59,5001788,0
60,5001789,0
61,5001790,0
62,5001791,0
63,5001792,1
64,5001793,1
65,5001794,0
66,5001795,0
67,5001796,0
68,5001798,0
69,5001800,0
70,5001803,0
71,5001804,0
72,5001805,0
73,5001806,0
74,5001807,0
75,5001808,0
76,5001812,0
77,5001813,0
78,5001816,1
79,5001817,1
80,5001818,0
81,5001819,0
82,5001820,0
83,5001821,0
84,5001823,0
85,5001824,0
86,5001825,0
87,5001827,0
88,5001828,0
89,5001829,0
90,5001830,0
91,5001831,0
92,5001832,0
93,5001833,0
94,5001836,1
95,5001837,0
96,5001838,0
97,5001839,0
98,5001840,0
99,5001841,0
100,5001842,0
101,5001843,0
102,5001844,1
103,5001846,0
104,5001847,0
105,5001848,1
106,5001849,0
107,5001850,0
108,5001851,0
109,5001852,0
110,5001853,0
111,5001854,0
112,5001855,0
113,5001856,1
114,5001857,0
115,5001858,0
116,5001859,0
117,5001860,0
118,5001861,0
119,5001862,0
120,5001863,0
121,5001864,0
122,5001867,0
123,5001870,0
124,5001871,0
125,5001872,0
126,5001873,0
127,5001874,0
128,5001875,0
129,5001876,0
130,5001877,0
131,5001879,0
132,5001882,0
133,5001883,0
134,5001886,0
135,5001887,0
136,5001888,1
137,5001889,0
138,5001890,0
139,5001891,0
140,5001892,0
141,5001893,0
142,5001894,0
143,5001895,0
144,5001896,1
145,5001897,0
146,5001898,0
147,5001899,0
148,5001900,0
149,5001901,0
150,5001902,0
151,5001904,0
152,5001905,0
153,5001906,0
154,5001907,0
155,5001908,0
156,5001909,0
157,5001910,0
158,5001911,0
159,5001912,0
160,5001913,0
161,5001914,0
162,5001915,0
163,5001916,0
164,5001917,0
165,5001918,1
166,5001919,0
167,5001920,0
168,5001921,0
169,5001922,1
170,5001923,1
171,5001924,0
172,5001925,0
173,5001926,1
174,5001927,1
175,5001931,0
176,5001932,0
177,5001933,1
178,5001936,0
179,5001940,0
180,5001941,0
181,5001942,0
182,5001943,0
183,5001944,0
184,5001945,0
185,5001946,0
186,5001947,0
187,5001948,0
188,5001949,0
189,5001950,0
190,5001951,0
191,5001952,0
192,5001953,0
193,5001954,0
194,5001956,0
195,5001957,0
196,5001958,0
197,5001959,1
198,5001960,0
199,5001961,0
200,5001962,0
201,5001963,0
202,5001964,0
203,5001965,0
204,5001966,0
205,5001967,0
206,5001968,0
207,5001970,0
208,5001976,0
209,5001982,0
210,5001983,0
211,5001986,0
212,5001987,0
213,5001988,1
214,5001989,0
215,5001990,0
216,5001991,0
217,5001993,0
218,5001994,0
219,5001995,0
220,5001996,0
221,5001997,0
222,5001998,0
223,5001999,0
224,5002000,0
225,5002001,0
226,5002002,0
227,5002003,0
228,5002004,0
229,5002005,0
230,5002006,0
231,5002007,0
232,5002008,0
233,5002009,0
234,5002010,0
235,5002011,0
236,5002012,0
237,5002013,0
238,5002015,0
239,5002016,0
240,5002018,0
241,5002019,0
242,5002020,0
243,5002021,0
244,5002022,0
245,5002023,0
246,5002024,0
247,5002025,0
248,5002026,0
249,5002028,0
250,5002029,0
251,5002030,0
252,5002031,0
253,5002032,0
254,5002033,0
255,5002034,0
256,5002035,0
257,5002037,0
258,5002038,0
259,5002039,0
260,5002041,0
