Marca temporal,1. Utiliza habitualmente la página web de ATM,2. Le resultó simple la creación de su cuenta en Mis Trámites,3. Le resulta comprensible la sección de Mis Trámites,4. El trámite que realizó dentro de Mis Trámites fue resuelto de forma:,5. La información brindada por la página web de ATM es:,6. El boleto para pagar el año 2020 lo obtuvo por:,Agregue aquí su sugerencia
31/12/2020 17:38:37,SI,SI,NO,Poco satisfactoria,Regular,Descarga de la página web de ATM,
31/12/2020 16:29:17,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
31/12/2020 15:33:54,SI,SI,SI,Nada satisfactoria,Mala,Descarga de la página web de ATM,DESDE LA ACTIVIDAD PROFESIONAL COMPLICARON MUCHO LAS COSAS CON EL SAYGES. ES UN SITEMA QUE NO FUNCIONA PARA LOS EXPEDIENTES. 
31/12/2020 15:22:19,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
31/12/2020 12:10:19,SI,NO,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
31/12/2020 11:58:26,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
31/12/2020 11:25:22,SI,SI,SI,Satisfactoria,Buena,Recepción por correo electrónico,
31/12/2020 10:08:21,SI,NO,NO,Nada satisfactoria,Mala,CORREO,"HACER UN SISTEMA QUE FUNCIONE, O MEJOR HACER QUE FUNCIONE CATASTRO. CAMBIO DE DIRECTORA, POR UN AGRIMENSOR. NO SABE NADA A CERCA DE ESTOS TRAMITES. FALTA DE SENTIDO COMUN. NO RESPONDE. NEFASTA GESTION."
31/12/2020 8:54:13,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,AGREGAR MÁS CANTIDAD DE TRÁMITES
31/12/2020 3:42:57,SI,SI,SI,Satisfactoria,Buena,NO REQUERI BOLETO PARA ESTE TRAMITE,
30/12/2020 23:57:47,SI,SI,SI,Muy satisfactoria,Buena,Descarga de la página web de ATM,Ampliar las opciones de trámites en el Impuesto automotor
30/12/2020 22:06:06,SI,SI,NO,Poco satisfactoria,Buena,Descarga de la página web de ATM,
30/12/2020 20:40:22,SI,SI,SI,Satisfactoria,Buena,Recepción por correo electrónico,LA ATENCION EN LA SUCURSAL SAN MARTIN ES PESIMA
30/12/2020 16:11:01,NO,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,
30/12/2020 15:32:35,SI,SI,SI,Muy satisfactoria,Buena,Recepción por correo electrónico,"Sigan asi, el desarrollo de los medios digitales agiliza mucho."
30/12/2020 15:26:02,SI,SI,NO,Satisfactoria,Buena,Descarga de la página web de ATM,
30/12/2020 12:30:45,SI,SI,SI,Poco satisfactoria,Buena,Descarga de la página web de ATM,
30/12/2020 12:25:01,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
30/12/2020 12:03:59,NO,SI,NO,Satisfactoria,Buena,Descarga de la página web de ATM,
30/12/2020 11:55:57,SI,NO,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
30/12/2020 11:50:48,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
30/12/2020 11:46:30,SI,SI,SI,Nada satisfactoria,Buena,Descarga de la página web de ATM,
30/12/2020 11:27:34,SI,SI,SI,Poco satisfactoria,Regular,Descarga de la página web de ATM,
30/12/2020 11:25:12,NO,SI,SI,Poco satisfactoria,Buena,Recepción por correo electrónico,deben mantener los canales telefónicos eficiente dado que hay cosas que via web se complican
