Marca temporal,1. Utiliza habitualmente la página web de ATM,2. Le resultó simple la creación de su cuenta en Mis Trámites,3. Le resulta comprensible la sección de Mis Trámites,4. El trámite que realizó dentro de Mis Trámites fue resuelto de forma:,5. La información brindada por la página web de ATM es:,6. El boleto para pagar el año 2021 lo obtiene por:,Agregue aquí su sugerencia
3/2/2021 9:49:57,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,"La unica sugerencia, es un poco mas de celeridad en la resolucion de tramites"
3/2/2021 9:54:50,SI,SI,SI,Muy satisfactoria,Buena,Descarga de la página web de ATM,
3/2/2021 10:02:35,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
3/2/2021 10:11:57,SI,NO,NO,Nada satisfactoria,Mala,Descarga de la página web de ATM,"Llevo 90 minutos al teléfono y nadie atiende, pésima gestión."
3/2/2021 10:32:10,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
3/2/2021 10:35:12,NO,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
3/2/2021 10:40:09,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
3/2/2021 11:04:18,NO,SI,SI,Satisfactoria,Muy Buena,Entrega en su domicilio real,
3/2/2021 11:10:01,SI,NO,NO,Nada satisfactoria,Mala,Descarga de la página web de ATM,ES IMPOSIBLE COMUNICARSE CON USTEDES Y RESOLVER LOS PROBLEMAS!!!!
3/2/2021 11:25:24,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
3/2/2021 11:34:26,SI,SI,SI,Satisfactoria,Buena,Entrega en su domicilio real,
3/2/2021 12:17:54,SI,SI,NO,Satisfactoria,Buena,bolsa de comercio,
3/2/2021 12:19:48,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
3/2/2021 12:25:19,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,
3/2/2021 12:41:51,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
3/2/2021 13:02:01,SI,NO,NO,Nada satisfactoria,Mala,Descarga de la página web de ATM,Nunca atienden en el 148 ni contestan de manera rápida los tramites electronicos. Un desastre.
3/2/2021 13:14:01,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
3/2/2021 14:04:43,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
3/2/2021 14:08:18,NO,SI,SI,Nada satisfactoria,Buena,Descarga de la página web de ATM,Mejorar tiempos de respuesta de los trámites solicitados o expedientes presentados.
3/2/2021 14:09:38,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,Mucha demora en resolver
3/2/2021 14:12:27,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
3/2/2021 15:37:48,SI,SI,SI,Nada satisfactoria,Buena,Descarga de la página web de ATM,Mejorar los tramites digitales.
3/2/2021 15:56:21,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
3/2/2021 16:02:32,SI,SI,SI,Muy satisfactoria,Buena,Descarga de la página web de ATM,"acceso a profesionales del derecho al aplicativo NSIT, es sumamente necesario"
3/2/2021 16:42:53,SI,NO,SI,Satisfactoria,Muy Buena,Entrega en su domicilio real,
3/2/2021 16:43:44,NO,NO,NO,Poco satisfactoria,Regular,Bolsa de comercio,Un desastre para personas mayores. Una vergüenza de gobierno. 
3/2/2021 16:45:17,NO,NO,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
3/2/2021 17:08:19,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,
3/2/2021 17:17:32,NO,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
3/2/2021 17:42:33,SI,SI,SI,Satisfactoria,Muy Buena,Me dirijo a una sucursal,Es difícil al comienzo lleva horas para poder acceder al sitio correcto
3/2/2021 17:51:34,SI,SI,SI,Satisfactoria,Regular,Descarga de la página web de ATM,No pude tener repuesta de un expediente iniciado el 14/02/2020 EX 2020 00916719 GDEMZA ATM. ó PV 2020 00916723 GDEMZA ATM
3/2/2021 17:58:44,SI,SI,NO,Satisfactoria,Muy Buena,Descarga de la página web de ATM,
3/2/2021 18:21:00,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,
3/2/2021 18:25:10,SI,SI,SI,Satisfactoria,Muy Buena,Entrega en su domicilio real,
3/2/2021 18:35:41,SI,SI,NO,Poco satisfactoria,Regular,Descarga de la página web de ATM,no responde en forma rapida los email y no atienden o no saben como solucionar problemas el personal en la agencia
3/2/2021 18:36:02,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
3/2/2021 18:56:56,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,sugiero que el blanqueo de clave no sea con trasmisión al correo orque a veces es la de un contador o correo de otra persona que no se puede contactar para volver a rehabilitar los servicios
3/2/2021 19:57:05,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
3/2/2021 21:10:42,NO,NO,NO,Satisfactoria,Buena,Recepción por correo electrónico,
3/2/2021 21:38:30,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
3/2/2021 21:46:06,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
3/2/2021 22:33:49,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,No es posible descargar nevamente las tasas cero Ingresos brutos generadas previamente en días anteriores.
4/2/2021 9:51:49,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
4/2/2021 9:52:45,NO,SI,SI,Poco satisfactoria,Buena,Descarga de la página web de ATM,
4/2/2021 10:07:50,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,
4/2/2021 10:22:19,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
4/2/2021 10:51:51,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
4/2/2021 11:08:15,NO,SI,NO,Satisfactoria,Buena,Recepción por correo electrónico,"Deberían especificar que trámite es on line o presencial
"
4/2/2021 11:32:15,NO,NO,NO,Poco satisfactoria,Regular,Entrega en su domicilio real,Que brinden otros medios de comunicación 
